,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
0,FALSE,mp-1204293,BH10C3NF4,Monoclinic,P2_1/m,11,38,0.072401403,-1.0644858,FALSE,380.1138187,1.283673776,7.2814,FALSE,FALSE,NM,0.0010917,,,,,,,,,,,,,,,
1,TRUE,mp-1008523,BC2N,Tetragonal,P-4m2,115,4,0.99695768,0.263861323,FALSE,24.2503408,3.344251291,1.5216,FALSE,FALSE,NM,0.0001645,,,,,,,0.037,,,,,0.65775,6.611964907,0.301517677,
2,TRUE,mp-1214049,Ca3BCBr2N,Orthorhombic,Pnma,62,32,0,-1.40313929,TRUE,652.9338947,3.223454518,2.2271,TRUE,FALSE,NM,0.0003118,,,,,,,,,,,,,,,
3,FALSE,mp-759882,AgBH8C4(N2F)4,Triclinic,P-1,2,52,0.077754531,-0.830052923,FALSE,563.9405114,2.136742849,3.7801,FALSE,FALSE,NM,0,,,,,,,,,,,,,,,
4,FALSE,mp-1205404,K2B(CN)3,Orthorhombic,Fdd2,43,18,0.322233257,-0.341212796,FALSE,341.0973937,1.626569592,2.4621,FALSE,FALSE,NM,0.000261,,,,,,,,,,,,,,,
5,FALSE,mp-1193817,BH4C4N5,Tetragonal,I4_1/a,88,28,0.3290769,-0.106594686,FALSE,412.8103268,1.069339973,6.3532,FALSE,FALSE,NM,9.26E-05,,,,,,,,,,,,,,,
6,TRUE,mp-1209706,RbB(CN)2,Tetragonal,I4_1/a,88,24,0.869293995,0.141853577,FALSE,568.208616,1.733733139,0.608,FALSE,FALSE,FM,7.9997759,,,,,,,,,,,,,,,
7,FALSE,mp-616577,Sr3BCNCl2,Orthorhombic,Pnma,62,32,0,-1.517763746,TRUE,707.7978447,3.477752772,1.8788,TRUE,FALSE,NM,0.0032131,,,,,,,,,,,,,,,
8,FALSE,mp-698440,SiBHC3NCl2,Monoclinic,P2_1/c,14,36,0.910082589,0.042652666,FALSE,766.2131065,1.39437159,0.7866,FALSE,FALSE,FM,4.0009592,,,,,,,,,,,,,,,
9,FALSE,mp-1203624,Si2BAsH29C9N,Orthorhombic,Cmc2_1,36,86,0.1088783,-0.189825151,FALSE,1011.679344,0.962619756,3.354,TRUE,FALSE,NM,0.1968453,,,,,,,,,,,,,,,
10,FALSE,mp-559063,CsBC3NO2F9,Triclinic,P-1,2,34,0.508314948,-1.77684823,FALSE,507.5758377,2.595875099,3.4032,FALSE,FALSE,NM,0,,,,,,,,,,,,,,,
